"MutationType","HepG2_Duo_100pM_2mth_cl2"
"A[Del(C):R1]A",4
"A[Del(C):R1]G",1
"A[Del(C):R1]T",5
"A[Del(C):R2]A",20
"A[Del(C):R2]G",1
"A[Del(C):R2]T",0
"A[Del(C):R3]A",0
"A[Del(C):R3]G",0
"A[Del(C):R3]T",2
"A[Del(C):R4]A",1
"A[Del(C):R4]G",0
"A[Del(C):R4]T",1
"A[Del(C):R5]A",0
"A[Del(C):R5]G",3
"A[Del(C):R5]T",0
"A[Del(C):R6]A",0
"A[Del(C):R6]G",0
"A[Del(C):R6]T",0
"A[Del(C):R7]A",0
"A[Del(C):R7]G",0
"A[Del(C):R7]T",0
"A[Del(C):R8]A",0
"A[Del(C):R8]G",0
"A[Del(C):R8]T",0
"A[Del(C):R(9,)]A",0
"A[Del(C):R(9,)]G",0
"A[Del(C):R(9,)]T",0
"G[Del(C):R1]A",0
"G[Del(C):R1]G",0
"G[Del(C):R1]T",6
"G[Del(C):R2]A",0
"G[Del(C):R2]G",1
"G[Del(C):R2]T",1
"G[Del(C):R3]A",2
"G[Del(C):R3]G",0
"G[Del(C):R3]T",2
"G[Del(C):R4]A",1
"G[Del(C):R4]G",0
"G[Del(C):R4]T",0
"G[Del(C):R5]A",0
"G[Del(C):R5]G",0
"G[Del(C):R5]T",0
"G[Del(C):R6]A",0
"G[Del(C):R6]G",0
"G[Del(C):R6]T",0
"G[Del(C):R7]A",0
"G[Del(C):R7]G",0
"G[Del(C):R7]T",0
"G[Del(C):R8]A",0
"G[Del(C):R8]G",0
"G[Del(C):R8]T",0
"G[Del(C):R(9,)]A",0
"G[Del(C):R(9,)]G",0
"G[Del(C):R(9,)]T",0
"T[Del(C):R1]A",3
"T[Del(C):R1]G",2
"T[Del(C):R1]T",7
"T[Del(C):R2]A",0
"T[Del(C):R2]G",0
"T[Del(C):R2]T",2
"T[Del(C):R3]A",2
"T[Del(C):R3]G",0
"T[Del(C):R3]T",3
"T[Del(C):R4]A",6
"T[Del(C):R4]G",0
"T[Del(C):R4]T",0
"T[Del(C):R5]A",0
"T[Del(C):R5]G",0
"T[Del(C):R5]T",0
"T[Del(C):R6]A",0
"T[Del(C):R6]G",0
"T[Del(C):R6]T",0
"T[Del(C):R7]A",0
"T[Del(C):R7]G",0
"T[Del(C):R7]T",0
"T[Del(C):R8]A",0
"T[Del(C):R8]G",0
"T[Del(C):R8]T",0
"T[Del(C):R(9,)]A",0
"T[Del(C):R(9,)]G",0
"T[Del(C):R(9,)]T",0
"A[Del(T):R1]A",27
"A[Del(T):R1]C",5
"A[Del(T):R1]G",1
"A[Del(T):R2]A",5
"A[Del(T):R2]C",6
"A[Del(T):R2]G",1
"A[Del(T):R3]A",16
"A[Del(T):R3]C",2
"A[Del(T):R3]G",0
"A[Del(T):R4]A",4
"A[Del(T):R4]C",1
"A[Del(T):R4]G",11
"A[Del(T):R5]A",4
"A[Del(T):R5]C",3
"A[Del(T):R5]G",9
"A[Del(T):R6]A",19
"A[Del(T):R6]C",2
"A[Del(T):R6]G",7
"A[Del(T):R7]A",1
"A[Del(T):R7]C",2
"A[Del(T):R7]G",2
"A[Del(T):R8]A",1
"A[Del(T):R8]C",0
"A[Del(T):R8]G",0
"A[Del(T):R(9,)]A",0
"A[Del(T):R(9,)]C",0
"A[Del(T):R(9,)]G",0
"C[Del(T):R1]A",24
"C[Del(T):R1]C",4
"C[Del(T):R1]G",1
"C[Del(T):R2]A",10
"C[Del(T):R2]C",2
"C[Del(T):R2]G",2
"C[Del(T):R3]A",4
"C[Del(T):R3]C",1
"C[Del(T):R3]G",3
"C[Del(T):R4]A",17
"C[Del(T):R4]C",9
"C[Del(T):R4]G",10
"C[Del(T):R5]A",4
"C[Del(T):R5]C",2
"C[Del(T):R5]G",7
"C[Del(T):R6]A",16
"C[Del(T):R6]C",18
"C[Del(T):R6]G",11
"C[Del(T):R7]A",0
"C[Del(T):R7]C",4
"C[Del(T):R7]G",1
"C[Del(T):R8]A",0
"C[Del(T):R8]C",0
"C[Del(T):R8]G",3
"C[Del(T):R(9,)]A",0
"C[Del(T):R(9,)]C",0
"C[Del(T):R(9,)]G",0
"G[Del(T):R1]A",2
"G[Del(T):R1]C",0
"G[Del(T):R1]G",2
"G[Del(T):R2]A",5
"G[Del(T):R2]C",0
"G[Del(T):R2]G",13
"G[Del(T):R3]A",2
"G[Del(T):R3]C",0
"G[Del(T):R3]G",2
"G[Del(T):R4]A",1
"G[Del(T):R4]C",4
"G[Del(T):R4]G",10
"G[Del(T):R5]A",3
"G[Del(T):R5]C",1
"G[Del(T):R5]G",3
"G[Del(T):R6]A",5
"G[Del(T):R6]C",3
"G[Del(T):R6]G",3
"G[Del(T):R7]A",1
"G[Del(T):R7]C",1
"G[Del(T):R7]G",5
"G[Del(T):R8]A",0
"G[Del(T):R8]C",1
"G[Del(T):R8]G",0
"G[Del(T):R(9,)]A",0
"G[Del(T):R(9,)]C",0
"G[Del(T):R(9,)]G",0
"A[Ins(C):R0]A",25
"A[Ins(C):R0]G",3
"A[Ins(C):R0]T",4
"A[Ins(C):R1]A",0
"A[Ins(C):R1]G",0
"A[Ins(C):R1]T",3
"A[Ins(C):R2]A",2
"A[Ins(C):R2]G",0
"A[Ins(C):R2]T",2
"A[Ins(C):R3]A",1
"A[Ins(C):R3]G",2
"A[Ins(C):R3]T",0
"A[Ins(C):R4]A",0
"A[Ins(C):R4]G",0
"A[Ins(C):R4]T",0
"A[Ins(C):R5]A",0
"A[Ins(C):R5]G",0
"A[Ins(C):R5]T",0
"A[Ins(C):R6]A",0
"A[Ins(C):R6]G",0
"A[Ins(C):R6]T",0
"A[Ins(C):R7]A",0
"A[Ins(C):R7]G",0
"A[Ins(C):R7]T",0
"A[Ins(C):R8]A",0
"A[Ins(C):R8]G",0
"A[Ins(C):R8]T",0
"A[Ins(C):R(9,)]A",0
"A[Ins(C):R(9,)]G",0
"A[Ins(C):R(9,)]T",0
"G[Ins(C):R0]A",2
"G[Ins(C):R0]G",2
"G[Ins(C):R0]T",13
"G[Ins(C):R1]A",3
"G[Ins(C):R1]G",0
"G[Ins(C):R1]T",7
"G[Ins(C):R2]A",2
"G[Ins(C):R2]G",0
"G[Ins(C):R2]T",0
"G[Ins(C):R3]A",1
"G[Ins(C):R3]G",0
"G[Ins(C):R3]T",0
"G[Ins(C):R4]A",1
"G[Ins(C):R4]G",0
"G[Ins(C):R4]T",0
"G[Ins(C):R5]A",0
"G[Ins(C):R5]G",0
"G[Ins(C):R5]T",0
"G[Ins(C):R6]A",0
"G[Ins(C):R6]G",0
"G[Ins(C):R6]T",0
"G[Ins(C):R7]A",0
"G[Ins(C):R7]G",0
"G[Ins(C):R7]T",0
"G[Ins(C):R8]A",0
"G[Ins(C):R8]G",0
"G[Ins(C):R8]T",0
"G[Ins(C):R(9,)]A",0
"G[Ins(C):R(9,)]G",0
"G[Ins(C):R(9,)]T",0
"T[Ins(C):R0]A",2
"T[Ins(C):R0]G",0
"T[Ins(C):R0]T",15
"T[Ins(C):R1]A",2
"T[Ins(C):R1]G",0
"T[Ins(C):R1]T",1
"T[Ins(C):R2]A",21
"T[Ins(C):R2]G",0
"T[Ins(C):R2]T",2
"T[Ins(C):R3]A",1
"T[Ins(C):R3]G",0
"T[Ins(C):R3]T",0
"T[Ins(C):R4]A",0
"T[Ins(C):R4]G",0
"T[Ins(C):R4]T",0
"T[Ins(C):R5]A",0
"T[Ins(C):R5]G",0
"T[Ins(C):R5]T",0
"T[Ins(C):R6]A",0
"T[Ins(C):R6]G",0
"T[Ins(C):R6]T",0
"T[Ins(C):R7]A",0
"T[Ins(C):R7]G",0
"T[Ins(C):R7]T",0
"T[Ins(C):R8]A",0
"T[Ins(C):R8]G",0
"T[Ins(C):R8]T",0
"T[Ins(C):R(9,)]A",0
"T[Ins(C):R(9,)]G",0
"T[Ins(C):R(9,)]T",0
"A[Ins(T):R0]A",142
"A[Ins(T):R0]C",39
"A[Ins(T):R0]G",13
"A[Ins(T):R1]A",21
"A[Ins(T):R1]C",1
"A[Ins(T):R1]G",7
"A[Ins(T):R2]A",123
"A[Ins(T):R2]C",0
"A[Ins(T):R2]G",7
"A[Ins(T):R3]A",14
"A[Ins(T):R3]C",1
"A[Ins(T):R3]G",0
"A[Ins(T):R4]A",6
"A[Ins(T):R4]C",0
"A[Ins(T):R4]G",1
"A[Ins(T):R5]A",0
"A[Ins(T):R5]C",0
"A[Ins(T):R5]G",0
"A[Ins(T):R6]A",0
"A[Ins(T):R6]C",0
"A[Ins(T):R6]G",0
"A[Ins(T):R7]A",1
"A[Ins(T):R7]C",0
"A[Ins(T):R7]G",0
"A[Ins(T):R8]A",0
"A[Ins(T):R8]C",0
"A[Ins(T):R8]G",0
"A[Ins(T):R(9,)]A",0
"A[Ins(T):R(9,)]C",0
"A[Ins(T):R(9,)]G",0
"C[Ins(T):R0]A",25
"C[Ins(T):R0]C",1
"C[Ins(T):R0]G",7
"C[Ins(T):R1]A",0
"C[Ins(T):R1]C",2
"C[Ins(T):R1]G",2
"C[Ins(T):R2]A",11
"C[Ins(T):R2]C",1
"C[Ins(T):R2]G",10
"C[Ins(T):R3]A",5
"C[Ins(T):R3]C",3
"C[Ins(T):R3]G",0
"C[Ins(T):R4]A",1
"C[Ins(T):R4]C",0
"C[Ins(T):R4]G",1
"C[Ins(T):R5]A",0
"C[Ins(T):R5]C",0
"C[Ins(T):R5]G",0
"C[Ins(T):R6]A",0
"C[Ins(T):R6]C",0
"C[Ins(T):R6]G",0
"C[Ins(T):R7]A",0
"C[Ins(T):R7]C",0
"C[Ins(T):R7]G",0
"C[Ins(T):R8]A",0
"C[Ins(T):R8]C",0
"C[Ins(T):R8]G",1
"C[Ins(T):R(9,)]A",0
"C[Ins(T):R(9,)]C",0
"C[Ins(T):R(9,)]G",0
"G[Ins(T):R0]A",5
"G[Ins(T):R0]C",2
"G[Ins(T):R0]G",16
"G[Ins(T):R1]A",2
"G[Ins(T):R1]C",1
"G[Ins(T):R1]G",0
"G[Ins(T):R2]A",49
"G[Ins(T):R2]C",1
