"MutationType","HepG2_Duo_250pM_2mth_cl3"
"A[Ins(C):R8]A",0
"A[Ins(C):R8]G",0
"A[Ins(C):R8]T",0
"A[Ins(C):R(9,)]A",0
"A[Ins(C):R(9,)]G",0
"A[Ins(C):R(9,)]T",0
"G[Ins(C):R0]A",0
"G[Ins(C):R0]G",0
"G[Ins(C):R0]T",10
"G[Ins(C):R1]A",0
"G[Ins(C):R1]G",0
"G[Ins(C):R1]T",2
"G[Ins(C):R2]A",0
"G[Ins(C):R2]G",1
"G[Ins(C):R2]T",0
"G[Ins(C):R3]A",0
"G[Ins(C):R3]G",0
"G[Ins(C):R3]T",0
"G[Ins(C):R4]A",0
"G[Ins(C):R4]G",0
"G[Ins(C):R4]T",0
"G[Ins(C):R5]A",0
"G[Ins(C):R5]G",0
"G[Ins(C):R5]T",0
"G[Ins(C):R6]A",0
"G[Ins(C):R6]G",0
"G[Ins(C):R6]T",0
"G[Ins(C):R7]A",0
"G[Ins(C):R7]G",0
"G[Ins(C):R7]T",0
"G[Ins(C):R8]A",0
"G[Ins(C):R8]G",0
"G[Ins(C):R8]T",0
"G[Ins(C):R(9,)]A",0
"G[Ins(C):R(9,)]G",0
"G[Ins(C):R(9,)]T",0
"T[Ins(C):R0]A",7
"T[Ins(C):R0]G",1
"T[Ins(C):R0]T",20
"T[Ins(C):R1]A",0
"T[Ins(C):R1]G",0
"T[Ins(C):R1]T",3
"T[Ins(C):R2]A",0
"T[Ins(C):R2]G",0
"T[Ins(C):R2]T",1
"T[Ins(C):R3]A",0
"T[Ins(C):R3]G",0
"T[Ins(C):R3]T",0
"T[Ins(C):R4]A",0
"T[Ins(C):R4]G",0
"T[Ins(C):R4]T",0
"T[Ins(C):R5]A",0
"T[Ins(C):R5]G",0
"T[Ins(C):R5]T",0
"T[Ins(C):R6]A",0
"T[Ins(C):R6]G",0
"T[Ins(C):R6]T",0
"T[Ins(C):R7]A",0
"T[Ins(C):R7]G",0
"T[Ins(C):R7]T",0
"T[Ins(C):R8]A",0
"T[Ins(C):R8]G",0
"T[Ins(C):R8]T",0
"T[Ins(C):R(9,)]A",0
"T[Ins(C):R(9,)]G",0
"T[Ins(C):R(9,)]T",0
"A[Ins(T):R0]A",349
"A[Ins(T):R0]C",131
"A[Ins(T):R0]G",23
"A[Ins(T):R1]A",22
"A[Ins(T):R1]C",8
"A[Ins(T):R1]G",5
"A[Ins(T):R2]A",428
"A[Ins(T):R2]C",0
"A[Ins(T):R2]G",5
"A[Ins(T):R3]A",30
"A[Ins(T):R3]C",1
"A[Ins(T):R3]G",0
"A[Ins(T):R4]A",2
"A[Ins(T):R4]C",0
"A[Ins(T):R4]G",1
"A[Ins(T):R5]A",2
"A[Ins(T):R5]C",0
"A[Ins(T):R5]G",1
"A[Ins(T):R6]A",0
"A[Ins(T):R6]C",0
"A[Ins(T):R6]G",0
"A[Ins(T):R7]A",1
"A[Ins(T):R7]C",0
"A[Ins(T):R7]G",0
"A[Ins(T):R8]A",1
"A[Ins(T):R8]C",0
"A[Ins(T):R8]G",0
"A[Ins(T):R(9,)]A",0
"A[Ins(T):R(9,)]C",0
"A[Ins(T):R(9,)]G",0
"C[Ins(T):R0]A",1
"C[Ins(T):R0]C",0
"C[Ins(T):R0]G",0
"C[Ins(T):R1]A",1
"C[Ins(T):R1]C",2
"C[Ins(T):R1]G",1
"C[Ins(T):R2]A",11
"C[Ins(T):R2]C",0
"C[Ins(T):R2]G",0
"C[Ins(T):R3]A",16
"C[Ins(T):R3]C",6
"C[Ins(T):R3]G",3
"C[Ins(T):R4]A",0
"C[Ins(T):R4]C",0
"C[Ins(T):R4]G",2
"C[Ins(T):R5]A",1
"C[Ins(T):R5]C",0
"C[Ins(T):R5]G",0
"C[Ins(T):R6]A",0
"C[Ins(T):R6]C",0
"C[Ins(T):R6]G",0
"C[Ins(T):R7]A",0
"C[Ins(T):R7]C",0
"C[Ins(T):R7]G",0
"C[Ins(T):R8]A",0
"C[Ins(T):R8]C",0
"C[Ins(T):R8]G",0
"C[Ins(T):R(9,)]A",0
"C[Ins(T):R(9,)]C",0
"C[Ins(T):R(9,)]G",0
"G[Ins(T):R0]A",0
"G[Ins(T):R0]C",1
"G[Ins(T):R0]G",0
"G[Ins(T):R1]A",8
"G[Ins(T):R1]C",0
"G[Ins(T):R1]G",0
"G[Ins(T):R2]A",214
"G[Ins(T):R2]C",0
"G[Ins(T):R2]G",1
"G[Ins(T):R3]A",19
"G[Ins(T):R3]C",18
"G[Ins(T):R3]G",2
"G[Ins(T):R4]A",0
"G[Ins(T):R4]C",0
"G[Ins(T):R4]G",1
"G[Ins(T):R5]A",0
"G[Ins(T):R5]C",0
"G[Ins(T):R5]G",0
"G[Ins(T):R6]A",0
"G[Ins(T):R6]C",0
"G[Ins(T):R6]G",0
"G[Ins(T):R7]A",1
"G[Ins(T):R7]C",0
"G[Ins(T):R7]G",1
"G[Ins(T):R8]A",0
"G[Ins(T):R8]C",0
"G[Ins(T):R8]G",1
"G[Ins(T):R(9,)]A",0
"G[Ins(T):R(9,)]C",0
"G[Ins(T):R(9,)]G",0
"Del2:U1:R1",1
"Del3:U1:R1",0
"Del4:U1:R1",1
"Del5:U1:R1",0
"Del6:U1:R1",0
"Del7:U1:R1",0
"Del8:U1:R1",0
"Del9:U1:R1",0
"Del(10,):U1:R1",1
"Del2:U(2,):R1",2
"Del3:U(2,):R1",0
"Del4:U(2,):R1",1
"Del5:U(2,):R1",0
"Del6:U(2,):R1",0
"Del7:U(2,):R1",0
"Del8:U(2,):R1",1
"Del9:U(2,):R1",0
"Del(10,):U(2,):R1",0
"Del2:U1:R3",1
"Del2:U1:R4",1
"Del2:U1:R(5,)",4
"Del2:U2:R2",4
"Del2:U2:R3",1
"Del2:U2:R4",0
"Del2:U2:R(5,)",2
"Del3:U1:R4",1
"Del3:U1:R(5,)",2
"Del3:U3:R2",1
"Del3:U3:R3",0
"Del3:U3:R4",0
"Del3:U3:R(5,)",0
"Del4:U1:R(5,)",1
"Del4:U2:R3",0
"Del4:U2:R4",1
"Del4:U2:R(5,)",1
"Del4:U4:R2",4
"Del4:U4:R3",0
"Del4:U4:R4",0
"Del4:U4:R(5,)",0
"Del5:U1:R(5,)",0
"Del5:U5:R2",0
"Del5:U5:R3",0
"Del5:U5:R4",0
"Del5:U5:R(5,)",0
"Del(6,):U1:R(7,)",0
"Del(6,):U2:R(4,)",0
"Del(6,):U3:R(3,)",0
"Del(6,):U(4,):R(2,)",1
"Ins(2,4):M",55
"Ins(5,):M",25
"Ins2:U1:R0",2
"Ins3:U1:R0",0
"Ins4:U1:R0",0
"Ins2:U2:R0",6
"Ins3:U3:R0",2
"Ins4:U2:R0",0
"Ins4:U4:R0",3
"Ins(5,):R0",1
"Ins2:U1:R1",3
"Ins2:U1:R2",1
"Ins2:U1:R3",0
"Ins2:U1:R4",0
"Ins2:U1:R(5,)",0
"Ins2:U2:R1",4
"Ins2:U2:R2",0
"Ins2:U2:R3",0
"Ins2:U2:R4",0
"Ins2:U2:R(5,)",0
"Ins3:U1:R1",0
"Ins3:U1:R2",0
"Ins3:U1:R3",0
"Ins3:U1:R4",0
"Ins3:U1:R(5,)",0
"Ins3:U3:R1",0
"Ins3:U3:R2",0
"Ins3:U3:R3",0
"Ins3:U3:R4",0
"Ins3:U3:R(5,)",0
"Ins4:U1:R1",0
"Ins4:U1:R2",0
"Ins4:U1:R3",3
"Ins4:U1:R4",0
"Ins4:U1:R(5,)",0
"Ins4:U2:R1",0
"Ins4:U2:R2",0
"Ins4:U2:R3",0
"Ins4:U2:R4",0
"Ins4:U2:R(5,)",1
"Ins4:U4:R1",1
"Ins4:U4:R2",0
"Ins4:U4:R3",0
"Ins4:U4:R4",0
"Ins4:U4:R(5,)",0
"Ins(5,):U1:R1",0
"Ins(5,):U1:R2",0
"Ins(5,):U1:R3",0
"Ins(5,):U1:R4",0
"Ins(5,):U1:R(5,)",0
"Ins(5,):U2:R1",0
"Ins(5,):U2:R2",0
"Ins(5,):U2:R3",0
"Ins(5,):U2:R4",0
"Ins(5,):U2:R(5,)",0
"Ins(5,):U(3,):R1",2
"Ins(5,):U(3,):R2",1
"Ins(5,):U(3,):R3",0
"Ins(5,):U(3,):R4",0
"Ins(5,):U(3,):R(5,)",0
"Del2:M1",2
"Del3:M1",2
"Del3:M2",1
"Del4:M1",0
"Del4:M2",1
"Del4:M3",0
"Del5:M1",1
"Del5:M2",0
"Del5:M3",1
"Del5:M4",0
"Del6:M1",0
"Del6:M2",0
"Del6:M3",1
"Del6:M4",0
"Del6:M5",0
"Del(7,):M1",2
"Del(7,):M2",3
"Del(7,):M3",1
"Del(7,):M4",0
"Del(7,):M5",0
"Del(7,):M(6,)",0
"Complex(0,1)",0
"Complex(2,5)",0
"Complex(6,10)",0
"Complex(11,20)",0
"Complex(21,)",0
