"MutationType","HepG2_Duo_100pM_2mth_cl3"
"C[Del(T):R3]C",0
"C[Del(T):R3]G",1
"C[Del(T):R4]A",8
"C[Del(T):R4]C",18
"C[Del(T):R4]G",16
"C[Del(T):R5]A",3
"C[Del(T):R5]C",6
"C[Del(T):R5]G",7
"C[Del(T):R6]A",28
"C[Del(T):R6]C",27
"C[Del(T):R6]G",12
"C[Del(T):R7]A",2
"C[Del(T):R7]C",6
"C[Del(T):R7]G",3
"C[Del(T):R8]A",0
"C[Del(T):R8]C",0
"C[Del(T):R8]G",1
"C[Del(T):R(9,)]A",0
"C[Del(T):R(9,)]C",0
"C[Del(T):R(9,)]G",0
"G[Del(T):R1]A",6
"G[Del(T):R1]C",1
"G[Del(T):R1]G",2
"G[Del(T):R2]A",3
"G[Del(T):R2]C",1
"G[Del(T):R2]G",1
"G[Del(T):R3]A",1
"G[Del(T):R3]C",0
"G[Del(T):R3]G",1
"G[Del(T):R4]A",6
"G[Del(T):R4]C",5
"G[Del(T):R4]G",2
"G[Del(T):R5]A",2
"G[Del(T):R5]C",1
"G[Del(T):R5]G",8
"G[Del(T):R6]A",6
"G[Del(T):R6]C",6
"G[Del(T):R6]G",4
"G[Del(T):R7]A",2
"G[Del(T):R7]C",2
"G[Del(T):R7]G",2
"G[Del(T):R8]A",0
"G[Del(T):R8]C",2
"G[Del(T):R8]G",0
"G[Del(T):R(9,)]A",0
"G[Del(T):R(9,)]C",0
"G[Del(T):R(9,)]G",0
"A[Ins(C):R0]A",13
"A[Ins(C):R0]G",2
"A[Ins(C):R0]T",11
"A[Ins(C):R1]A",1
"A[Ins(C):R1]G",0
"A[Ins(C):R1]T",1
"A[Ins(C):R2]A",0
"A[Ins(C):R2]G",0
"A[Ins(C):R2]T",1
"A[Ins(C):R3]A",0
"A[Ins(C):R3]G",2
"A[Ins(C):R3]T",0
"A[Ins(C):R4]A",0
"A[Ins(C):R4]G",0
"A[Ins(C):R4]T",0
"A[Ins(C):R5]A",0
"A[Ins(C):R5]G",0
"A[Ins(C):R5]T",0
"A[Ins(C):R6]A",0
"A[Ins(C):R6]G",0
"A[Ins(C):R6]T",0
"A[Ins(C):R7]A",0
"A[Ins(C):R7]G",0
"A[Ins(C):R7]T",0
"A[Ins(C):R8]A",0
"A[Ins(C):R8]G",0
"A[Ins(C):R8]T",0
"A[Ins(C):R(9,)]A",0
"A[Ins(C):R(9,)]G",0
"A[Ins(C):R(9,)]T",0
"G[Ins(C):R0]A",0
"G[Ins(C):R0]G",0
"G[Ins(C):R0]T",5
"G[Ins(C):R1]A",0
"G[Ins(C):R1]G",0
"G[Ins(C):R1]T",0
"G[Ins(C):R2]A",0
"G[Ins(C):R2]G",0
"G[Ins(C):R2]T",0
"G[Ins(C):R3]A",0
"G[Ins(C):R3]G",0
"G[Ins(C):R3]T",0
"G[Ins(C):R4]A",0
"G[Ins(C):R4]G",0
"G[Ins(C):R4]T",0
"G[Ins(C):R5]A",0
"G[Ins(C):R5]G",0
"G[Ins(C):R5]T",0
"G[Ins(C):R6]A",0
"G[Ins(C):R6]G",0
"G[Ins(C):R6]T",0
"G[Ins(C):R7]A",0
"G[Ins(C):R7]G",0
"G[Ins(C):R7]T",0
"G[Ins(C):R8]A",0
"G[Ins(C):R8]G",0
"G[Ins(C):R8]T",0
"G[Ins(C):R(9,)]A",0
"G[Ins(C):R(9,)]G",0
"G[Ins(C):R(9,)]T",0
"T[Ins(C):R0]A",6
"T[Ins(C):R0]G",0
"T[Ins(C):R0]T",10
"T[Ins(C):R1]A",0
"T[Ins(C):R1]G",0
"T[Ins(C):R1]T",5
"T[Ins(C):R2]A",7
"T[Ins(C):R2]G",0
"T[Ins(C):R2]T",0
"T[Ins(C):R3]A",0
"T[Ins(C):R3]G",0
"T[Ins(C):R3]T",0
"T[Ins(C):R4]A",0
"T[Ins(C):R4]G",0
"T[Ins(C):R4]T",0
"T[Ins(C):R5]A",0
"T[Ins(C):R5]G",0
"T[Ins(C):R5]T",0
"T[Ins(C):R6]A",0
"T[Ins(C):R6]G",0
"T[Ins(C):R6]T",0
"T[Ins(C):R7]A",0
"T[Ins(C):R7]G",0
"T[Ins(C):R7]T",0
"T[Ins(C):R8]A",0
"T[Ins(C):R8]G",0
"T[Ins(C):R8]T",0
"T[Ins(C):R(9,)]A",0
"T[Ins(C):R(9,)]G",0
"T[Ins(C):R(9,)]T",0
"A[Ins(T):R0]A",172
"A[Ins(T):R0]C",46
"A[Ins(T):R0]G",15
"A[Ins(T):R1]A",12
"A[Ins(T):R1]C",7
"A[Ins(T):R1]G",5
"A[Ins(T):R2]A",211
"A[Ins(T):R2]C",0
"A[Ins(T):R2]G",2
"A[Ins(T):R3]A",14
"A[Ins(T):R3]C",0
"A[Ins(T):R3]G",0
"A[Ins(T):R4]A",1
"A[Ins(T):R4]C",1
"A[Ins(T):R4]G",1
"A[Ins(T):R5]A",1
"A[Ins(T):R5]C",0
"A[Ins(T):R5]G",0
"A[Ins(T):R6]A",0
"A[Ins(T):R6]C",0
"A[Ins(T):R6]G",0
"A[Ins(T):R7]A",1
"A[Ins(T):R7]C",0
"A[Ins(T):R7]G",2
"A[Ins(T):R8]A",0
"A[Ins(T):R8]C",0
"A[Ins(T):R8]G",0
"A[Ins(T):R(9,)]A",0
"A[Ins(T):R(9,)]C",0
"A[Ins(T):R(9,)]G",0
"C[Ins(T):R0]A",10
"C[Ins(T):R0]C",3
"C[Ins(T):R0]G",2
"C[Ins(T):R1]A",0
"C[Ins(T):R1]C",1
"C[Ins(T):R1]G",1
"C[Ins(T):R2]A",7
"C[Ins(T):R2]C",0
"C[Ins(T):R2]G",4
"C[Ins(T):R3]A",8
"C[Ins(T):R3]C",7
"C[Ins(T):R3]G",0
"C[Ins(T):R4]A",1
"C[Ins(T):R4]C",0
"C[Ins(T):R4]G",0
"C[Ins(T):R5]A",0
"C[Ins(T):R5]C",0
"C[Ins(T):R5]G",0
"C[Ins(T):R6]A",0
"C[Ins(T):R6]C",1
"C[Ins(T):R6]G",0
"C[Ins(T):R7]A",0
"C[Ins(T):R7]C",0
"C[Ins(T):R7]G",0
"C[Ins(T):R8]A",0
"C[Ins(T):R8]C",0
"C[Ins(T):R8]G",0
"C[Ins(T):R(9,)]A",0
"C[Ins(T):R(9,)]C",0
"C[Ins(T):R(9,)]G",0
"G[Ins(T):R0]A",2
"G[Ins(T):R0]C",0
"G[Ins(T):R0]G",4
"G[Ins(T):R1]A",1
"G[Ins(T):R1]C",0
"G[Ins(T):R1]G",4
"G[Ins(T):R2]A",78
"G[Ins(T):R2]C",0
"G[Ins(T):R2]G",1
"G[Ins(T):R3]A",10
"G[Ins(T):R3]C",7
"G[Ins(T):R3]G",2
"G[Ins(T):R4]A",0
"G[Ins(T):R4]C",0
"G[Ins(T):R4]G",1
"G[Ins(T):R5]A",0
"G[Ins(T):R5]C",0
"G[Ins(T):R5]G",1
"G[Ins(T):R6]A",0
"G[Ins(T):R6]C",0
"G[Ins(T):R6]G",1
"G[Ins(T):R7]A",0
"G[Ins(T):R7]C",0
"G[Ins(T):R7]G",0
"G[Ins(T):R8]A",0
"G[Ins(T):R8]C",0
"G[Ins(T):R8]G",0
"G[Ins(T):R(9,)]A",0
"G[Ins(T):R(9,)]C",0
"G[Ins(T):R(9,)]G",0
"Del2:U1:R1",3
"Del3:U1:R1",0
"Del4:U1:R1",0
"Del5:U1:R1",0
"Del6:U1:R1",0
"Del7:U1:R1",0
"Del8:U1:R1",0
"Del9:U1:R1",0
"Del(10,):U1:R1",0
"Del2:U(2,):R1",8
"Del3:U(2,):R1",2
"Del4:U(2,):R1",1
"Del5:U(2,):R1",0
"Del6:U(2,):R1",0
"Del7:U(2,):R1",0
"Del8:U(2,):R1",0
"Del9:U(2,):R1",1
"Del(10,):U(2,):R1",0
"Del2:U1:R3",0
"Del2:U1:R4",0
"Del2:U1:R(5,)",0
"Del2:U2:R2",1
"Del2:U2:R3",0
"Del2:U2:R4",0
"Del2:U2:R(5,)",1
"Del3:U1:R4",2
"Del3:U1:R(5,)",3
"Del3:U3:R2",0
"Del3:U3:R3",0
"Del3:U3:R4",0
"Del3:U3:R(5,)",0
"Del4:U1:R(5,)",0
"Del4:U2:R3",0
"Del4:U2:R4",0
"Del4:U2:R(5,)",0
"Del4:U4:R2",2
"Del4:U4:R3",0
"Del4:U4:R4",0
"Del4:U4:R(5,)",0
"Del5:U1:R(5,)",0
"Del5:U5:R2",0
"Del5:U5:R3",0
"Del5:U5:R4",0
"Del5:U5:R(5,)",0
"Del(6,):U1:R(7,)",0
"Del(6,):U2:R(4,)",0
"Del(6,):U3:R(3,)",0
"Del(6,):U(4,):R(2,)",1
"Ins(2,4):M",40
"Ins(5,):M",19
"Ins2:U1:R0",3
"Ins3:U1:R0",0
"Ins4:U1:R0",0
"Ins2:U2:R0",7
"Ins3:U3:R0",2
"Ins4:U2:R0",0
"Ins4:U4:R0",1
"Ins(5,):R0",2
"Ins2:U1:R1",0
"Ins2:U1:R2",1
"Ins2:U1:R3",0
"Ins2:U1:R4",1
"Ins2:U1:R(5,)",0
"Ins2:U2:R1",2
"Ins2:U2:R2",1
"Ins2:U2:R3",0
"Ins2:U2:R4",1
"Ins2:U2:R(5,)",1
"Ins3:U1:R1",0
"Ins3:U1:R2",0
"Ins3:U1:R3",1
"Ins3:U1:R4",0
"Ins3:U1:R(5,)",0
"Ins3:U3:R1",0
"Ins3:U3:R2",1
"Ins3:U3:R3",0
"Ins3:U3:R4",0
"Ins3:U3:R(5,)",0
"Ins4:U1:R1",0
"Ins4:U1:R2",0
"Ins4:U1:R3",0
"Ins4:U1:R4",0
"Ins4:U1:R(5,)",0
"Ins4:U2:R1",0
"Ins4:U2:R2",0
"Ins4:U2:R3",0
"Ins4:U2:R4",0
"Ins4:U2:R(5,)",0
"Ins4:U4:R1",2
"Ins4:U4:R2",0
"Ins4:U4:R3",0
"Ins4:U4:R4",0
"Ins4:U4:R(5,)",0
"Ins(5,):U1:R1",0
"Ins(5,):U1:R2",0
"Ins(5,):U1:R3",0
"Ins(5,):U1:R4",0
"Ins(5,):U1:R(5,)",1
"Ins(5,):U2:R1",0
"Ins(5,):U2:R2",0
"Ins(5,):U2:R3",0
"Ins(5,):U2:R4",0
"Ins(5,):U2:R(5,)",0
"Ins(5,):U(3,):R1",1
"Ins(5,):U(3,):R2",0
"Ins(5,):U(3,):R3",0
"Ins(5,):U(3,):R4",0
"Ins(5,):U(3,):R(5,)",1
"Del2:M1",1
"Del3:M1",2
"Del3:M2",0
"Del4:M1",0
"Del4:M2",1
"Del4:M3",0
"Del5:M1",0
"Del5:M2",0
"Del5:M3",1
"Del5:M4",0
"Del6:M1",0
"Del6:M2",0
"Del6:M3",0
"Del6:M4",0
"Del6:M5",0
"Del(7,):M1",1
"Del(7,):M2",1
"Del(7,):M3",1
"Del(7,):M4",0
"Del(7,):M5",0
"Del(7,):M(6,)",1
"Complex(0,1)",0
"Complex(2,5)",0
"Complex(6,10)",0
"Complex(11,20)",0
"Complex(21,)",0
